Entity,Code,Year,fertility_rate__sex_all__age_all__variant_estimates,rgdpo_pc,population_historical,owid_region,time,time
Kenya,KEN,2019,3.433,4236.668,51202829,Africa,2019,2023
Kuwait,KWT,2019,2.087,62054.52,4442202,Asia,2019,2023
Kyrgyzstan,KGZ,2019,3.33,6135.855,6494036,Asia,2019,2023
Laos,LAO,2019,2.589,7585.5537,7237634,Asia,2019,2023
Latvia,LVA,2019,1.609,29411.12,1914267,Europe,2019,2023
Lebanon,LBN,2019,2.327,14749.867,5794600,Asia,2019,2023
Lesotho,LSO,2019,2.924,2694.87,2209414,Africa,2019,2023
Liberia,LBR,2019,4.257,1258.1931,5043720,Africa,2019,2023
Lithuania,LTU,2019,1.61,32483.44,2795057,Europe,2019,2023
Luxembourg,LUX,2019,1.343,90479.41,620166,Europe,2019,2023
Macao,MAC,2019,0.936,93488.375,670983,Asia,2019,2023
Madagascar,MDG,2019,4.221,1539.063,28219558,Africa,2019,2023
Malawi,MWI,2019,3.952,1161.3806,19025748,Africa,2019,2023
Malaysia,MYS,2019,1.777,25735.309,33440588,Asia,2019,2023
Maldives,MDV,2019,1.64,19411.275,487737,Asia,2019,2023
Mali,MLI,2019,5.892,2446.2075,21068406,Africa,2019,2023
Malta,MLT,2019,1.15,38910.08,504017,Europe,2019,2023
Mauritania,MRT,2019,4.984,4676.1816,4467714,Africa,2019,2023
Mauritius,MUS,2019,1.351,23437.75,1286269,Africa,2019,2023
Mexico,MEX,2019,2.02,18736.527,125762977,North America,2019,2023
Moldova,MDA,2019,1.78,9438.566,3112563,Europe,2019,2023
Mongolia,MNG,2019,3.008,11900.283,3232119,Asia,2019,2023
Montenegro,MNE,2019,1.814,21849.92,611673,Europe,2019,2023
Montserrat,MSR,2019,1.865,15573.098,4564,North America,2019,2023
Morocco,MAR,2019,2.342,7923.9307,36210907,Africa,2019,2023
Mozambique,MOZ,2019,5.016,1228.8705,29884376,Africa,2019,2023
Myanmar,MMR,2019,2.206,5153.375,52640718,Asia,2019,2023
Namibia,NAM,2019,3.404,9353.127,2650500,Africa,2019,2023
Nepal,NPL,2019,2.08,3631.0178,28414066,Asia,2019,2023
Netherlands,NLD,2019,1.572,55569.44,17537506,Europe,2019,2023
New Zealand,NZL,2019,1.717,41522.477,4989412,Oceania,2019,2023
Nicaragua,NIC,2019,2.321,5024.2754,6483660,North America,2019,2023
Niger,NER,2019,6.537,1210.8782,22947765,Africa,2019,2023
Nigeria,NGA,2019,4.861,4983.6753,209485636,Africa,2019,2023
North Macedonia,MKD,2019,1.651,15779.604,1897643,Europe,2019,2023
Norway,NOR,2019,1.533,73668.79,5347735,Europe,2019,2023
Oman,OMN,2019,2.696,30723.287,4591247,Asia,2019,2023
Pakistan,PAK,2019,3.81,5026.2085,230800909,Asia,2019,2023
Palestine,PSE,2019,3.591,7386.203,4957774,Asia,2019,2023
Panama,PAN,2019,2.288,29879.904,4234699,North America,2019,2023
Paraguay,PRY,2019,2.525,12319.808,6515060,South America,2019,2023
Peru,PER,2019,2.086,12236.712,32449301,South America,2019,2023
Philippines,PHL,2019,2.215,8448.533,110804685,Asia,2019,2023
Poland,POL,2019,1.436,31985.158,38225884,Europe,2019,2023
Portugal,PRT,2019,1.421,31796.8,10343218,Europe,2019,2023
Qatar,QAT,2019,1.731,114100.81,2797927,Asia,2019,2023
Romania,ROU,2019,1.711,27888.36,19501543,Europe,2019,2023
Russia,RUS,2019,1.504,28526.293,146533063,Europe,2019,2023
Rwanda,RWA,2019,3.985,2279.5068,12776104,Africa,2019,2023
Saint Kitts and Nevis,KNA,2019,1.568,22938.94,46974,North America,2019,2023
Saint Lucia,LCA,2019,1.424,14237.587,177674,North America,2019,2023
Saint Vincent and the Grenadines,VCT,2019,1.864,11101.596,104182,North America,2019,2023
Sao Tome and Principe,STP,2019,3.9,3784.7568,213404,Africa,2019,2023
Saudi Arabia,SAU,2019,2.49,51824.88,30472810,Asia,2019,2023
Senegal,SEN,2019,4.1,3247.833,16352926,Africa,2019,2023
Serbia,SRB,2019,1.513,17220.316,6966154,Europe,2019,2023
Seychelles,SYC,2019,2.262,27783.162,117662,Africa,2019,2023
Sierra Leone,SLE,2019,4.192,1875.1897,7731995,Africa,2019,2023
Singapore,SGP,2019,0.942,82336.34,5669562,Asia,2019,2023
Sint Maarten (Dutch part),SXM,2019,1.481,31100.963,40410,North America,2019,2023
Slovakia,SVK,2019,1.566,27473.168,5450626,Europe,2019,2023
Slovenia,SVN,2019,1.611,34093.465,2083436,Europe,2019,2023
South Africa,ZAF,2019,2.264,12536.135,59587880,Africa,2019,2023
South Korea,KOR,2019,0.881,42219.47,51767843,Asia,2019,2023
Spain,ESP,2019,1.23,40366.4,47435120,Europe,2019,2023
Sri Lanka,LKA,2019,2.022,13290.122,22410552,Asia,2019,2023
Sudan,SDN,2019,4.617,4230.835,45548178,Africa,2019,2023
Suriname,SUR,2019,2.347,14480.707,605780,South America,2019,2023
Sweden,SWE,2019,1.709,52433.336,10279122,Europe,2019,2023
Switzerland,CHE,2019,1.478,75298.82,8577526,Europe,2019,2023
Syria,SYR,2019,2.878,7210.547,20353536,Asia,2019,2023
Taiwan,TWN,2019,1.045,46761.25,23674137,Asia,2019,2023
Tajikistan,TJK,2019,3.281,3893.754,9529971,Asia,2019,2023
Tanzania,TZA,2019,4.866,2358.761,59174889,Africa,2019,2023
Thailand,THA,2019,1.285,17116.309,71522265,Asia,2019,2023
Togo,TGO,2019,4.45,2235.2266,8463068,Africa,2019,2023
Trinidad and Tobago,TTO,2019,1.578,28643.447,1484898,North America,2019,2023
Tunisia,TUN,2019,2.1,11090.384,11875085,Africa,2019,2023
Turkey,TUR,2019,1.886,26947.576,85357671,Asia,2019,2023
Turkmenistan,TKM,2019,2.834,26026.03,6803942,Asia,2019,2023
Uganda,UGA,2019,4.744,2092.1492,42999636,Africa,2019,2023
Ukraine,UKR,2019,1.218,13144.867,44957450,Europe,2019,2023
United Arab Emirates,ARE,2019,1.247,66112.72,9377855,Asia,2019,2023
United Kingdom,GBR,2019,1.632,44274.957,67110958,Europe,2019,2023
United States,USA,2019,1.684,62589,337790068,North America,2019,2023
Uruguay,URY,2019,1.567,20545.422,3397205,South America,2019,2023
Vietnam,VNM,2019,1.943,7506.817,97173778,Asia,2019,2023
Yemen,YEM,2019,4.603,1777.2511,35111417,Asia,2019,2023
Zambia,ZMB,2019,4.418,3179.1958,18513841,Africa,2019,2023
Zimbabwe,ZWE,2019,3.748,2787.659,15271377,Africa,2019,2023
