Entity,Code,Year,sh_xpd_chex_pp_cd,ny_gdp_pcap_pp_kd,population_historical,owid_region,time,time,time,time
Iceland,ISL,2019,4959.0605,56615.305,360709,Europe,2019,2023,2019,2019
India,IND,2019,200.7363,6617.13,1389030303,Asia,2019,2023,2019,2019
Indonesia,IDN,2019,359.0246,11857.789,272489379,Asia,2019,2023,2019,2019
Iran,IRN,2019,830.01135,14084.354,87051647,Asia,2019,2023,2019,2019
Iraq,IRQ,2019,456.5961,10299.316,41192172,Asia,2019,2023,2019,2019
Ireland,IRL,2019,5866.9624,86984.984,4933491,Europe,2019,2023,2019,2019
Israel,ISR,2019,3144.2253,41151.008,8657466,Asia,2019,2023,2019,2019
Italy,ITA,2019,3835.7332,42739.05,60130136,Europe,2019,2023,2019,2019
Jamaica,JAM,2019,651.07837,10244.366,2823275,North America,2019,2023,2019,2019
Japan,JPN,2019,4576.246,41654.33,126699422,Asia,2019,2023,2019,2019
Jordan,JOR,2019,750.2999,9534.661,10671892,Asia,2019,2023,2019,2019
Kazakhstan,KAZ,2019,755.7876,26351.805,19209556,Asia,2019,2023,2019,2019
Kenya,KEN,2019,208.84805,4601.2114,51202829,Africa,2019,2023,2019,2019
Kiribati,KIR,2019,248.38078,1963.5349,123928,Oceania,2019,2023,2019,2019
Kuwait,KWT,2019,2638.1775,47314.797,4442202,Asia,2019,2023,2019,2019
Kyrgyzstan,KGZ,2019,251.49806,5258.3667,6494036,Asia,2019,2023,2019,2019
Laos,LAO,2019,211.50276,7840.0713,7237634,Asia,2019,2023,2019,2019
Latvia,LVA,2019,2104.194,30438.453,1914267,Europe,2019,2023,2019,2019
Lebanon,LBN,2019,1421.7319,17185.047,5794600,Asia,2019,2023,2019,2019
Lesotho,LSO,2019,291.60077,2435.2864,2209414,Africa,2019,2023,2019,2019
Liberia,LBR,2019,118.68824,1455.6377,5043720,Africa,2019,2023,2019,2019
Lithuania,LTU,2019,2697.288,37198.875,2795057,Europe,2019,2023,2019,2019
Luxembourg,LUX,2019,6448.3203,115209.6,620166,Europe,2019,2023,2019,2019
Madagascar,MDG,2019,62.421085,1585.4717,28219558,Africa,2019,2023,2019,2019
Malawi,MWI,2019,81.26127,1517.7031,19025748,Africa,2019,2023,2019,2019
Malaysia,MYS,2019,1107.5842,27674.398,33440588,Asia,2019,2023,2019,2019
Maldives,MDV,2019,1639.5215,20988.092,487737,Asia,2019,2023,2019,2019
Mali,MLI,2019,89.7766,2219.0466,21068406,Africa,2019,2023,2019,2019
Malta,MLT,2019,4474.873,46438.664,504017,Europe,2019,2023,2019,2019
Marshall Islands,MHL,2019,711.12335,5719.19,44029,Oceania,2019,2023,2019,2019
Mauritania,MRT,2019,192.36057,5392.9326,4467714,Africa,2019,2023,2019,2019
Mauritius,MUS,2019,1443.1691,23676.414,1286269,Africa,2019,2023,2019,2019
Mexico,MEX,2019,1103.3066,20553.955,125762977,North America,2019,2023,2019,2019
Micronesia (country),FSM,2019,366.35846,3540.8438,110294,Oceania,2019,2023,2019,2019
Moldova,MDA,2019,859.31854,12776.922,3112563,Europe,2019,2023,2019,2019
Mongolia,MNG,2019,540.2756,12458.019,3232119,Asia,2019,2023,2019,2019
Montenegro,MNE,2019,1896.5116,21534.09,611673,Europe,2019,2023,2019,2019
Morocco,MAR,2019,430.97742,8217.599,36210907,Africa,2019,2023,2019,2019
Mozambique,MOZ,2019,106.52948,1290.1674,29884376,Africa,2019,2023,2019,2019
Myanmar,MMR,2019,235.50851,5214.3735,52640718,Asia,2019,2023,2019,2019
Namibia,NAM,2019,881.6004,10009.578,2650500,Africa,2019,2023,2019,2019
Nauru,NRU,2019,1523.9767,10529.813,11609,Oceania,2019,2023,2019,2019
Nepal,NPL,2019,181.71957,3922.0813,28414066,Asia,2019,2023,2019,2019
Netherlands,NLD,2019,6004.984,56784.04,17537506,Europe,2019,2023,2019,2019
New Zealand,NZL,2019,4337.69,43272.566,4989412,Oceania,2019,2023,2019,2019
Nicaragua,NIC,2019,477.7302,5398.1074,6483660,North America,2019,2023,2019,2019
Niger,NER,2019,71.903076,1217.4355,22947765,Africa,2019,2023,2019,2019
Nigeria,NGA,2019,157.96266,5076.368,209485636,Africa,2019,2023,2019,2019
North Macedonia,MKD,2019,1217.9467,16773.143,1897643,Europe,2019,2023,2019,2019
Norway,NOR,2019,7064.004,64983.355,5347735,Europe,2019,2023,2019,2019
Oman,OMN,2019,1341.5408,33814.113,4591247,Asia,2019,2023,2019,2019
Pakistan,PAK,2019,155.49756,5157.5464,230800909,Asia,2019,2023,2019,2019
Palau,PLW,2019,2832.6665,17799.605,17820,Oceania,2019,2023,2019,2019
Panama,PAN,2019,2738.1274,32788.332,4234699,North America,2019,2023,2019,2019
Papua New Guinea,PNG,2019,95.69376,3947.9338,9609014,Oceania,2019,2023,2019,2019
